id,pillar_id,title,description,age_group,content_type,content_data
tech28,3,Confidence Exercise 18,A confidence-building technique number 18.,all,technique,"{""steps"": [""Step 1 for technique 18"", ""Step 2 for technique 18"", ""Step 3 for technique 18""]}"
tech29,4,Confidence Exercise 19,A confidence-building technique number 19.,all,technique,"{""steps"": [""Step 1 for technique 19"", ""Step 2 for technique 19"", ""Step 3 for technique 19""]}"
tech30,5,Confidence Exercise 20,A confidence-building technique number 20.,all,technique,"{""steps"": [""Step 1 for technique 20"", ""Step 2 for technique 20"", ""Step 3 for technique 20""]}"
tech31,1,Confidence Exercise 21,A confidence-building technique number 21.,all,technique,"{""steps"": [""Step 1 for technique 21"", ""Step 2 for technique 21"", ""Step 3 for technique 21""]}"
tech32,2,Confidence Exercise 22,A confidence-building technique number 22.,all,technique,"{""steps"": [""Step 1 for technique 22"", ""Step 2 for technique 22"", ""Step 3 for technique 22""]}"
tech33,3,Confidence Exercise 23,A confidence-building technique number 23.,all,technique,"{""steps"": [""Step 1 for technique 23"", ""Step 2 for technique 23"", ""Step 3 for technique 23""]}"
tech34,4,Confidence Exercise 24,A confidence-building technique number 24.,all,technique,"{""steps"": [""Step 1 for technique 24"", ""Step 2 for technique 24"", ""Step 3 for technique 24""]}"
tech35,5,Confidence Exercise 25,A confidence-building technique number 25.,all,technique,"{""steps"": [""Step 1 for technique 25"", ""Step 2 for technique 25"", ""Step 3 for technique 25""]}"
tech36,1,Confidence Exercise 26,A confidence-building technique number 26.,all,technique,"{""steps"": [""Step 1 for technique 26"", ""Step 2 for technique 26"", ""Step 3 for technique 26""]}"
tech37,2,Confidence Exercise 27,A confidence-building technique number 27.,all,technique,"{""steps"": [""Step 1 for technique 27"", ""Step 2 for technique 27"", ""Step 3 for technique 27""]}"
tech38,3,Confidence Exercise 28,A confidence-building technique number 28.,all,technique,"{""steps"": [""Step 1 for technique 28"", ""Step 2 for technique 28"", ""Step 3 for technique 28""]}"
tech39,4,Confidence Exercise 29,A confidence-building technique number 29.,all,technique,"{""steps"": [""Step 1 for technique 29"", ""Step 2 for technique 29"", ""Step 3 for technique 29""]}"
tech40,5,Confidence Exercise 30,A confidence-building technique number 30.,all,technique,"{""steps"": [""Step 1 for technique 30"", ""Step 2 for technique 30"", ""Step 3 for technique 30""]}"
tech41,1,Confidence Exercise 31,A confidence-building technique number 31.,all,technique,"{""steps"": [""Step 1 for technique 31"", ""Step 2 for technique 31"", ""Step 3 for technique 31""]}"
tech42,2,Confidence Exercise 32,A confidence-building technique number 32.,all,technique,"{""steps"": [""Step 1 for technique 32"", ""Step 2 for technique 32"", ""Step 3 for technique 32""]}"
tech43,3,Confidence Exercise 33,A confidence-building technique number 33.,all,technique,"{""steps"": [""Step 1 for technique 33"", ""Step 2 for technique 33"", ""Step 3 for technique 33""]}"
tech44,4,Confidence Exercise 34,A confidence-building technique number 34.,all,technique,"{""steps"": [""Step 1 for technique 34"", ""Step 2 for technique 34"", ""Step 3 for technique 34""]}"
tech45,5,Confidence Exercise 35,A confidence-building technique number 35.,all,technique,"{""steps"": [""Step 1 for technique 35"", ""Step 2 for technique 35"", ""Step 3 for technique 35""]}"
tech46,1,Confidence Exercise 36,A confidence-building technique number 36.,all,technique,"{""steps"": [""Step 1 for technique 36"", ""Step 2 for technique 36"", ""Step 3 for technique 36""]}"
tech47,2,Confidence Exercise 37,A confidence-building technique number 37.,all,technique,"{""steps"": [""Step 1 for technique 37"", ""Step 2 for technique 37"", ""Step 3 for technique 37""]}"
tech48,3,Confidence Exercise 38,A confidence-building technique number 38.,all,technique,"{""steps"": [""Step 1 for technique 38"", ""Step 2 for technique 38"", ""Step 3 for technique 38""]}"
tech49,4,Confidence Exercise 39,A confidence-building technique number 39.,all,technique,"{""steps"": [""Step 1 for technique 39"", ""Step 2 for technique 39"", ""Step 3 for technique 39""]}"
tech50,5,Confidence Exercise 40,A confidence-building technique number 40.,all,technique,"{""steps"": [""Step 1 for technique 40"", ""Step 2 for technique 40"", ""Step 3 for technique 40""]}"
